record_id,date,source,client_name,contact_role,product_area,raw_text,status,priority,owner,original_channel,theme,sentiment,is_open_or_unresolved,is_repeated_issue,severity,business_impact,renewal_risk_signal,recommended_action,summary
EM-3D32545B,2023-08-30,account_email,Harborview Community Bank,IT Director,Core Banking,The Integrations dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.,Escalated,High,Casey Patel,Email,Follow-up / Ownership,Negative,True,True,High,High,High,Assign owner immediately and send client acknowledgment within 24 hours,The Integrations dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.
TKT-5EBD7F35,2023-09-10,support_ticket,Harborview Community Bank,Compliance Officer,Integrations,Scheduled report not emailing to distribution list since last update.,Resolved,High,Taylor Brooks,Support Portal,Reporting,Neutral,False,False,Medium,Medium,Low,Prepare reporting capability summary for renewal readiness brief,Scheduled report not emailing to distribution list since last update.
QBR-113A885D,2023-09-18,qbr_notes,Harborview Community Bank,Compliance Officer,Core Banking,Discussed role-based access roadmap. Client expects delivery by March 2025. Noted as committed.,Overdue,Medium,Alex Rivera,QBR Meeting,Admin Permissions,Neutral,True,True,High,High,High,Review admin permission issues and provide resolution path,Discussed role-based access roadmap. Client expects delivery by March 2025. Noted as committed.
QBR-37F4110E,2023-09-18,qbr_notes,Harborview Community Bank,CFO,Data Exports,Data integrity concern raised: Dashboard export results inconsistent across runs.,Overdue,Medium,Casey Patel,QBR Meeting,Data Export,Negative,True,True,High,High,High,Prepare response on export limitations and any upcoming increases,Data integrity concern raised: Dashboard export results inconsistent across runs.
FB-BAAA7F26,2023-09-27,product_feedback,Harborview Community Bank,VP of Operations,Admin & Permissions,"The reporting is good but we can't customize column order, which is frustrating during audits.",Reviewed,Medium,,Feedback Form,Compliance Reporting,Negative,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,"The reporting is good but we can't customize column order, which is frustrating during audits."
TKT-59175D11,2023-10-04,support_ticket,Harborview Community Bank,Branch Manager,Reporting & Analytics,ACH file generation fails intermittently — no error shown to end user.,Open,High,Casey Patel,Support Portal,Payment Reconciliation,Negative,True,True,High,High,High,Conduct post-mortem on payment discrepancy and share fix timeline,ACH file generation fails intermittently — no error shown to end user.
FB-7326CDF2,2023-10-23,product_feedback,Harborview Community Bank,CFO,Data Exports,Core Banking API documentation is outdated — our IT team wasted 3 days on a stale endpoint.,Pending Review,High,,Feedback Form,Data Export,Negative,True,True,High,High,High,Prepare response on export limitations and any upcoming increases,Core Banking API documentation is outdated — our IT team wasted 3 days on a stale endpoint.
EM-B682E775,2023-11-12,account_email,Harborview Community Bank,Compliance Officer,Lending Workflow,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.,Resolved,Medium,Alex Rivera,Email,Lending Workflow,Negative,False,True,Medium,High,High,Review lending workflow open items before next QBR,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.
TKT-AC458D6E,2023-11-27,support_ticket,Harborview Community Bank,Compliance Officer,Admin & Permissions,"Payment reconciliation discrepancy flagged by auditor — $3,587 off on March 2025 batch.",Resolved,Medium,Casey Patel,Support Portal,Compliance Reporting,Negative,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,"Payment reconciliation discrepancy flagged by auditor — $3,587 off on March 2025 batch."
FB-071B23F3,2023-12-04,product_feedback,Harborview Community Bank,Loan Operations Manager,Lending Workflow,Support response for Lending Workflow tickets has improved — keep it up.,Reviewed,Medium,,Feedback Form,Lending Workflow,Positive,False,True,Low,High,Medium,Review record and include in account health summary,Support response for Lending Workflow tickets has improved — keep it up.
TKT-91AFEA5C,2023-12-10,support_ticket,Harborview Community Bank,VP of Operations,Reporting & Analytics,ACH file generation fails intermittently — no error shown to end user.,Resolved,Low,Casey Patel,Support Portal,Payment Reconciliation,Negative,False,True,Medium,High,High,Confirm payment reconciliation status with account team,ACH file generation fails intermittently — no error shown to end user.
QBR-F00EEB00,2023-12-12,qbr_notes,Harborview Community Bank,Loan Operations Manager,Payment Reconciliation,Migration from legacy Core Banking system discussed — client wants phased approach.,Completed,Medium,Alex Rivera,QBR Meeting,Payment Reconciliation,Neutral,False,True,Medium,High,High,Confirm payment reconciliation status with account team,Migration from legacy Core Banking system discussed — client wants phased approach.
QBR-F4BAA24D,2023-12-12,qbr_notes,Harborview Community Bank,Branch Manager,Reporting & Analytics,Client satisfaction score self-reported as 5/10. Main concern: User Management reliability.,Open,Medium,Casey Patel,QBR Meeting,Admin Permissions,Negative,True,False,Medium,Medium,Medium,Confirm permission workflow improvements with IT contact,Client satisfaction score self-reported as 5/10. Main concern: User Management reliability.
FB-DFBBE97F,2024-01-15,product_feedback,Harborview Community Bank,CFO,Lending Workflow,Support response for Integrations tickets has improved — keep it up.,Reviewed,High,,Feedback Form,Lending Workflow,Positive,False,True,Medium,High,High,Review lending workflow open items before next QBR,Support response for Integrations tickets has improved — keep it up.
TKT-712CB344,2024-01-21,support_ticket,Harborview Community Bank,CFO,Lending Workflow,Admin permission change for new user user649 not propagating to sub-modules.,In Progress,Low,Alex Rivera,Support Portal,Lending Workflow,Neutral,True,True,Low,High,High,Confirm owner and next step with client,Admin permission change for new user user649 not propagating to sub-modules.
EM-4433DD0A,2024-01-23,account_email,Harborview Community Bank,VP of Operations,Compliance Reporting,Our auditors have flagged the missing audit trail in Dashboard. This is now a regulatory risk for us.,Resolved,Low,Casey Patel,Email,Compliance Reporting,Negative,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,Our auditors have flagged the missing audit trail in Dashboard. This is now a regulatory risk for us.
EM-C53BFD39,2024-02-06,account_email,Harborview Community Bank,Branch Manager,Integrations,Quick note: we've had three separate users report problems with Compliance Reporting this month alone.,Closed,Low,Taylor Brooks,Email,Compliance Reporting,Negative,False,False,Medium,High,High,Review compliance reporting capabilities before renewal call,Quick note: we've had three separate users report problems with Compliance Reporting this month alone.
QBR-DDE6BA72,2024-03-19,qbr_notes,Harborview Community Bank,CFO,Admin & Permissions,Migration from legacy User Management system discussed — client wants phased approach.,Overdue,Medium,Jordan Kim,QBR Meeting,Payment Reconciliation,Neutral,True,True,High,High,High,Conduct post-mortem on payment discrepancy and share fix timeline,Migration from legacy User Management system discussed — client wants phased approach.
QBR-69D8CB34,2024-03-19,qbr_notes,Harborview Community Bank,Branch Manager,Data Exports,Migration from legacy Data Exports system discussed — client wants phased approach.,Completed,Medium,Morgan Lee,QBR Meeting,Payment Reconciliation,Neutral,False,True,Medium,High,High,Confirm payment reconciliation status with account team,Migration from legacy Data Exports system discussed — client wants phased approach.
FB-6CEF7822,2024-03-31,product_feedback,Harborview Community Bank,VP of Operations,Payment Reconciliation,"The reporting is good but we can't customize column order, which is frustrating during audits.",Reviewed,High,,Feedback Form,Compliance Reporting,Negative,False,False,High,High,High,Escalate compliance gap to product and confirm resolution timeline with client,"The reporting is good but we can't customize column order, which is frustrating during audits."
TKT-26FD302C,2024-04-04,support_ticket,Harborview Community Bank,Compliance Officer,Admin & Permissions,ACH file generation fails intermittently — no error shown to end user.,Escalated,Low,Alex Rivera,Support Portal,Payment Reconciliation,Negative,True,True,High,High,High,Conduct post-mortem on payment discrepancy and share fix timeline,ACH file generation fails intermittently — no error shown to end user.
TKT-08C3BB11,2024-04-11,support_ticket,Harborview Community Bank,Loan Operations Manager,Core Banking,Interest calculation rounding error in loan amortization schedule.,Resolved,Medium,Casey Patel,Support Portal,Payment Reconciliation,Negative,False,True,Medium,High,High,Confirm payment reconciliation status with account team,Interest calculation rounding error in loan amortization schedule.
TKT-3BFAB8C2,2024-04-19,support_ticket,Harborview Community Bank,IT Director,Reporting & Analytics,Feature request: add drill-down to Reporting & Analytics module to reduce manual steps.,Resolved,Medium,Casey Patel,Support Portal,Manual Workaround,Neutral,False,False,Medium,Medium,Low,Prepare roadmap response on manual workaround reduction,Feature request: add drill-down to Reporting & Analytics module to reduce manual steps.
FB-62733235,2024-05-07,product_feedback,Harborview Community Bank,Loan Operations Manager,User Management,Permissions in Core Banking are confusing. New staff struggle with onboarding.,Pending Review,High,,Feedback Form,Admin Permissions,Negative,True,True,High,High,High,Review admin permission issues and provide resolution path,Permissions in Core Banking are confusing. New staff struggle with onboarding.
EM-98540E3F,2024-05-23,account_email,Harborview Community Bank,Compliance Officer,Core Banking,Quick note: we've had three separate users report problems with Integrations this month alone.,Awaiting Response,Low,Jordan Kim,Email,Reporting,Negative,True,False,Low,Medium,Medium,Confirm owner and next step with client,Quick note: we've had three separate users report problems with Integrations this month alone.
TKT-06CDA32B,2024-05-25,support_ticket,Harborview Community Bank,VP of Operations,Core Banking,Manual workaround needed: Core Banking export requires re-keying into spreadsheet every week.,In Progress,Low,Taylor Brooks,Support Portal,Manual Workaround,Neutral,True,False,Low,Medium,Low,Confirm owner and next step with client,Manual workaround needed: Core Banking export requires re-keying into spreadsheet every week.
FB-BE3F8A0F,2024-06-04,product_feedback,Harborview Community Bank,Compliance Officer,Core Banking,Would love to see bulk export added — other platforms we've used had this out of the box.,Pending Review,Medium,,Feedback Form,Feature Request,Positive,True,False,Low,Low,Low,Confirm owner and next step with client,Would love to see bulk export added — other platforms we've used had this out of the box.
QBR-34F29061,2024-06-17,qbr_notes,Harborview Community Bank,Core Banking Admin,Core Banking,Client expressed intent to expand usage to 2 additional branches if Core Banking issues are resolved.,Completed,Medium,Taylor Brooks,QBR Meeting,General Support,Negative,False,False,Medium,Low,Medium,Include in account review and assign owner,Client expressed intent to expand usage to 2 additional branches if Core Banking issues are resolved.
QBR-60FCB0FB,2024-06-17,qbr_notes,Harborview Community Bank,VP of Operations,Lending Workflow,Client requested dedicated CSM contact for compliance-related questions.,Completed,Medium,Morgan Lee,QBR Meeting,Compliance Reporting,Neutral,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,Client requested dedicated CSM contact for compliance-related questions.
TKT-358B72B7,2024-07-16,support_ticket,Harborview Community Bank,IT Director,Dashboard,User unable to run GL reconciliation report — system times out after 30 seconds. This is blocking month-end close.,In Progress,Low,Morgan Lee,Support Portal,Payment Reconciliation,Negative,True,False,Medium,High,High,Confirm payment reconciliation status with account team,User unable to run GL reconciliation report — system times out after 30 seconds. This is blocking month-end close.
EM-F88E6CD1,2024-07-18,account_email,Harborview Community Bank,CFO,Admin & Permissions,We need to revisit the bulk export commitment from our last QBR. January 2026 is approaching and we haven't seen any movement.,Closed,Medium,Casey Patel,Email,Payment Reconciliation,Neutral,False,True,Medium,High,High,Confirm payment reconciliation status with account team,We need to revisit the bulk export commitment from our last QBR. January 2026 is approaching and we haven't seen any movement.
EM-C7C04AA6,2024-07-19,account_email,Harborview Community Bank,Compliance Officer,Reporting & Analytics,"Hi Casey, just following up on the Payment Reconciliation issue we discussed last week — still no resolution and my team is using manual workarounds daily.",Closed,Medium,Morgan Lee,Email,Payment Reconciliation,Negative,False,True,Medium,High,High,Confirm payment reconciliation status with account team,"Hi Casey, just following up on the Payment Reconciliation issue we discussed last week — still no resolution and my team is using…"
EM-47789C14,2024-08-23,account_email,Harborview Community Bank,Branch Manager,Reporting & Analytics,We need to revisit the scheduled snapshots commitment from our last QBR. Q4 2024 is approaching and we haven't seen any movement.,Awaiting Response,Medium,Morgan Lee,Email,Payment Reconciliation,Neutral,True,True,Medium,High,High,Confirm payment reconciliation status with account team,We need to revisit the scheduled snapshots commitment from our last QBR. Q4 2024 is approaching and we haven't seen any movement.
QBR-E21C6C86,2024-09-16,qbr_notes,Harborview Community Bank,IT Director,Reporting & Analytics,CRA compliance gap identified — engineering team to provide timeline within 2 weeks.,Completed,Medium,Morgan Lee,QBR Meeting,Compliance Reporting,Neutral,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,CRA compliance gap identified — engineering team to provide timeline within 2 weeks.
QBR-6814AFDB,2024-09-16,qbr_notes,Harborview Community Bank,Loan Operations Manager,Compliance Reporting,Client satisfaction score self-reported as 8/10. Main concern: Compliance Reporting reliability.,No Action Required,Medium,Jordan Kim,QBR Meeting,Compliance Reporting,Negative,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,Client satisfaction score self-reported as 8/10. Main concern: Compliance Reporting reliability.
EM-CF64E427,2024-10-08,account_email,Harborview Community Bank,CFO,Admin & Permissions,I wanted to flag that we are tracking unresolved items from our Q4 2024 review. We need a status update before our board meeting.,Awaiting Response,Low,Alex Rivera,Email,Admin Permissions,Neutral,True,True,Low,Medium,Medium,Confirm owner and next step with client,I wanted to flag that we are tracking unresolved items from our Q4 2024 review. We need a status update before our board meeting.
FB-BE6D6EF3,2024-10-09,product_feedback,Harborview Community Bank,CFO,Data Exports,"The bulk export limit is a real problem. We need more than 10,000 rows for our GL runs.",Pending Review,Low,,Feedback Form,Data Export,Negative,True,True,Low,Medium,High,Confirm owner and next step with client,"The bulk export limit is a real problem. We need more than 10,000 rows for our GL runs."
TKT-7FFC6F78,2024-11-17,support_ticket,Harborview Community Bank,CFO,Core Banking,Compliance report for Reg CC cannot be generated — field mapping broken.,Resolved,Medium,Taylor Brooks,Support Portal,Compliance Reporting,Negative,False,False,Medium,High,High,Review compliance reporting capabilities before renewal call,Compliance report for Reg CC cannot be generated — field mapping broken.
TKT-B0B3C94E,2024-11-30,support_ticket,Harborview Community Bank,Loan Operations Manager,User Management,Interest calculation rounding error in loan amortization schedule.,Open,Medium,Taylor Brooks,Support Portal,Payment Reconciliation,Negative,True,False,Medium,High,High,Confirm payment reconciliation status with account team,Interest calculation rounding error in loan amortization schedule.
EM-96412EC9,2024-12-03,account_email,Harborview Community Bank,Branch Manager,Reporting & Analytics,The compliance team is asking about BSA reporting capabilities. Can you confirm the timeline for the fix?,Awaiting Response,Medium,Casey Patel,Email,Compliance Reporting,Neutral,True,True,Medium,High,High,Review compliance reporting capabilities before renewal call,The compliance team is asking about BSA reporting capabilities. Can you confirm the timeline for the fix?
QBR-799125BB,2024-12-10,qbr_notes,Harborview Community Bank,Loan Operations Manager,Dashboard,Discussed role-based access roadmap. Client expects delivery by February 2026. Noted as committed.,No Action Required,Medium,Casey Patel,QBR Meeting,Admin Permissions,Neutral,False,True,Medium,Medium,Medium,Confirm permission workflow improvements with IT contact,Discussed role-based access roadmap. Client expects delivery by February 2026. Noted as committed.
QBR-8919F1D0,2024-12-10,qbr_notes,Harborview Community Bank,Loan Operations Manager,Lending Workflow,Renewal discussion initiated. Client wants ROI summary and SLA performance data before committing.,Completed,Medium,Taylor Brooks,QBR Meeting,Lending Workflow,Neutral,False,True,Medium,High,High,Review lending workflow open items before next QBR,Renewal discussion initiated. Client wants ROI summary and SLA performance data before committing.
FB-659D69A7,2024-12-20,product_feedback,Harborview Community Bank,VP of Operations,Lending Workflow,The Core Banking dashboard is missing key metrics our compliance team needs for BSA.,Reviewed,High,,Feedback Form,Compliance Reporting,Negative,False,True,High,High,High,Escalate compliance gap to product and confirm resolution timeline with client,The Core Banking dashboard is missing key metrics our compliance team needs for BSA.
EM-FFB8D820,2024-12-30,account_email,Harborview Community Bank,Branch Manager,Integrations,"Hi Casey, just following up on the Data Exports issue we discussed last week — still no resolution and my team is using manual workarounds daily.",Escalated,High,Jordan Kim,Email,Manual Workaround,Negative,True,False,High,High,High,Prioritize automation fix — client is absorbing ongoing operational cost,"Hi Casey, just following up on the Data Exports issue we discussed last week — still no resolution and my team is using manual…"
TKT-BBE40D3F,2025-01-17,support_ticket,Harborview Community Bank,IT Director,Lending Workflow,Compliance report for Reg E cannot be generated — field mapping broken.,Open,High,Jordan Kim,Support Portal,Compliance Reporting,Negative,True,True,High,High,High,Escalate compliance gap to product and confirm resolution timeline with client,Compliance report for Reg E cannot be generated — field mapping broken.
FB-FDE7A7F6,2025-02-02,product_feedback,Harborview Community Bank,IT Director,Reporting & Analytics,Admin & Permissions integration with our core system still feels brittle — we get silent failures weekly.,Pending Review,Low,,Feedback Form,Admin Permissions,Negative,True,False,Low,Medium,Medium,Confirm owner and next step with client,Admin & Permissions integration with our core system still feels brittle — we get silent failures weekly.
TKT-9E92298B,2025-02-08,support_ticket,Harborview Community Bank,Branch Manager,Core Banking,Admin permission change for new user user446 not propagating to sub-modules.,In Progress,Critical,Alex Rivera,Support Portal,Admin Permissions,Neutral,True,True,High,High,High,Review admin permission issues and provide resolution path,Admin permission change for new user user446 not propagating to sub-modules.
EM-F237372F,2025-02-14,account_email,Harborview Community Bank,CFO,Admin & Permissions,Our auditors have flagged the missing audit trail in Lending Workflow. This is now a regulatory risk for us.,Resolved,Medium,Jordan Kim,Email,Compliance Reporting,Negative,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,Our auditors have flagged the missing audit trail in Lending Workflow. This is now a regulatory risk for us.
EM-31F0648A,2025-02-15,account_email,Harborview Community Bank,Loan Operations Manager,Data Exports,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.,Closed,Medium,Morgan Lee,Email,Admin Permissions,Negative,False,True,Medium,Medium,High,Confirm permission workflow improvements with IT contact,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.
FB-82C9753A,2025-03-02,product_feedback,Harborview Community Bank,Branch Manager,Admin & Permissions,Admin & Permissions API documentation is outdated — our IT team wasted 3 days on a stale endpoint.,Reviewed,High,,Feedback Form,Admin Permissions,Negative,False,True,High,High,High,Review admin permission issues and provide resolution path,Admin & Permissions API documentation is outdated — our IT team wasted 3 days on a stale endpoint.
TKT-B6419343,2025-03-16,support_ticket,Harborview Community Bank,IT Director,Core Banking,Core banking sync with Data Exports delayed by up to 4 hours during peak load.,Resolved,Critical,Alex Rivera,Support Portal,Follow-up / Ownership,Neutral,False,True,High,High,High,Assign owner immediately and send client acknowledgment within 24 hours,Core banking sync with Data Exports delayed by up to 4 hours during peak load.
QBR-9BF3D571,2025-03-18,qbr_notes,Harborview Community Bank,Loan Operations Manager,Lending Workflow,"Outstanding commitment: date range filter for Compliance Reporting module — originally promised in Q3 2024, still open.",Overdue,Medium,Jordan Kim,QBR Meeting,Compliance Reporting,Neutral,True,True,High,High,High,Escalate compliance gap to product and confirm resolution timeline with client,"Outstanding commitment: date range filter for Compliance Reporting module — originally promised in Q3 2024, still open."
QBR-3FB82AB8,2025-03-18,qbr_notes,Harborview Community Bank,Loan Operations Manager,Data Exports,Feature gap: no bulk date range filter capability — client using spreadsheet workaround.,Completed,Medium,Alex Rivera,QBR Meeting,Manual Workaround,Neutral,False,False,Medium,Medium,Low,Prepare roadmap response on manual workaround reduction,Feature gap: no bulk date range filter capability — client using spreadsheet workaround.
FB-0723D137,2025-03-26,product_feedback,Harborview Community Bank,Loan Operations Manager,Data Exports,Mobile access for Core Banking is essential for our branch managers — this is a recurring ask.,Reviewed,Low,,Feedback Form,Admin Permissions,Neutral,False,True,Low,Medium,Medium,Review record and include in account health summary,Mobile access for Core Banking is essential for our branch managers — this is a recurring ask.
EM-E7C6879F,2025-04-11,account_email,Harborview Community Bank,Core Banking Admin,Core Banking,The User Management dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.,Resolved,Medium,Casey Patel,Email,Follow-up / Ownership,Negative,False,True,Medium,Medium,High,Confirm owner and next step with client before renewal,The User Management dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.
EM-5F4E77AD,2025-04-20,account_email,Harborview Community Bank,VP of Operations,Admin & Permissions,We want to put together a list of our top 5 pain points for the next QBR. Can we get time on the agenda?,Resolved,High,Taylor Brooks,Email,Admin Permissions,Neutral,False,True,Medium,Medium,Medium,Confirm permission workflow improvements with IT contact,We want to put together a list of our top 5 pain points for the next QBR. Can we get time on the agenda?
TKT-BC2156DC,2025-05-06,support_ticket,Harborview Community Bank,Compliance Officer,Dashboard,Regulatory exam prep — need historical loan pipeline report for past 24 months.,Resolved,Medium,Jordan Kim,Support Portal,Compliance Reporting,Neutral,False,False,Medium,High,Medium,Review compliance reporting capabilities before renewal call,Regulatory exam prep — need historical loan pipeline report for past 24 months.
TKT-398DD6B2,2025-05-10,support_ticket,Harborview Community Bank,Branch Manager,Integrations,User unable to run loan pipeline report — system times out after 30 seconds. This is blocking month-end close.,Resolved,High,Morgan Lee,Support Portal,Lending Workflow,Negative,False,False,High,High,High,Escalate repeated lending workflow issue to product as renewal blocker,User unable to run loan pipeline report — system times out after 30 seconds. This is blocking month-end close.
