record_id,date,source,client_name,contact_role,product_area,raw_text,status,priority,owner,original_channel
TKT-6621E6CD,2025-11-10,support_ticket,Harborview Community Bank,CFO,Lending Workflow,Lending workflow stuck at approval stage for loan ID LN99593. Blocking disbursement.,Resolved,High,Morgan Lee,Support Portal
FB-D666EE39,2025-11-30,product_feedback,Harborview Community Bank,CFO,Data Exports,"The reporting is good but we can't customize column order, which is frustrating during audits.",Reviewed,Medium,,Feedback Form
QBR-8BA5C3B0,2025-12-09,qbr_notes,Harborview Community Bank,Loan Operations Manager,Admin & Permissions,Escalation review: 3 critical tickets unresolved for more than 60 days — VP flagged to executive sponsor.,Completed,Medium,Alex Rivera,QBR Meeting
QBR-4657198A,2025-12-09,qbr_notes,Harborview Community Bank,Loan Operations Manager,Core Banking,Client raised unresolved Integrations issues from prior quarter. Action item assigned to Taylor.,Overdue,Medium,Jordan Kim,QBR Meeting
FB-DA440CAF,2025-12-12,product_feedback,Harborview Community Bank,IT Director,Dashboard,Scheduled reports are unreliable — missed two weeks in a row without any notification.,Reviewed,High,,Feedback Form
TKT-5724EA01,2025-12-18,support_ticket,Harborview Community Bank,IT Director,Admin & Permissions,Lending workflow stuck at approval stage for loan ID LN53540. Blocking disbursement.,Open,Medium,Morgan Lee,Support Portal
FB-D7FAB29F,2025-12-22,product_feedback,Harborview Community Bank,Loan Operations Manager,Data Exports,Would love to see scheduled snapshots added — other platforms we've used had this out of the box.,Pending Review,High,,Feedback Form
TKT-EF85053B,2025-12-31,support_ticket,Harborview Community Bank,Branch Manager,Payment Reconciliation,Audit trail missing for permission changes in admin console.,Resolved,Low,Morgan Lee,Support Portal
EM-CAFC50A1,2026-01-09,account_email,Harborview Community Bank,Loan Operations Manager,User Management,Our auditors have flagged the missing audit trail in Core Banking. This is now a regulatory risk for us.,Awaiting Response,Medium,Taylor Brooks,Email
TKT-1E9AB068,2026-01-28,support_ticket,Harborview Community Bank,Core Banking Admin,Dashboard,Scheduled report not emailing to distribution list since last update.,Escalated,Low,Alex Rivera,Support Portal
TKT-79B8F79D,2026-01-31,support_ticket,Harborview Community Bank,Loan Operations Manager,Data Exports,User unable to run ACH batch report — system times out after 30 seconds. This is blocking month-end close.,In Progress,Critical,Jordan Kim,Support Portal
EM-0E8A5BA4,2026-02-03,account_email,Harborview Community Bank,CFO,Core Banking,Our auditors have flagged the missing audit trail in Reporting & Analytics. This is now a regulatory risk for us.,Closed,Medium,Alex Rivera,Email
TKT-4D9A3327,2026-02-04,support_ticket,Harborview Community Bank,Compliance Officer,Dashboard,Compliance report for HMDA cannot be generated — field mapping broken.,Resolved,Medium,Morgan Lee,Support Portal
FB-0C28369D,2026-02-26,product_feedback,Harborview Community Bank,Compliance Officer,Dashboard,Mobile access for Core Banking is essential for our branch managers — this is a recurring ask.,Reviewed,High,,Feedback Form
EM-6C4F01E4,2026-02-28,account_email,Harborview Community Bank,CFO,User Management,We appreciate the responsiveness on Core Banking — wanted to acknowledge that the last update improved things for our lending team.,Closed,High,Casey Patel,Email
FB-E5F391B2,2026-03-08,product_feedback,Harborview Community Bank,Compliance Officer,Data Exports,We submitted this User Management feedback six months ago and haven't seen it addressed.,Reviewed,High,,Feedback Form
QBR-F6B853A3,2026-03-17,qbr_notes,Harborview Community Bank,Core Banking Admin,User Management,Client expressed intent to expand usage to 2 additional branches if Payment Reconciliation issues are resolved.,Overdue,Medium,Morgan Lee,QBR Meeting
QBR-AF1B75C1,2026-03-17,qbr_notes,Harborview Community Bank,IT Director,Dashboard,Feature gap: no bulk drill-down capability — client using spreadsheet workaround.,Open,Medium,Casey Patel,QBR Meeting
FB-65D6ADB8,2026-03-26,product_feedback,Harborview Community Bank,VP of Operations,Dashboard,Permissions in Integrations are confusing. New staff struggle with onboarding.,Pending Review,High,,Feedback Form
TKT-DF74D9C2,2026-03-30,support_ticket,Harborview Community Bank,Loan Operations Manager,Admin & Permissions,Interest calculation rounding error in loan amortization schedule.,Resolved,Medium,Taylor Brooks,Support Portal
TKT-D3EE7DB7,2026-04-30,support_ticket,Harborview Community Bank,Core Banking Admin,User Management,Admin permission change for new user user195 not propagating to sub-modules.,In Progress,Low,Alex Rivera,Support Portal
